K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,KeyA,KeyB,KeyE
3,3,4,117,56,100,55,26dbbc427b14862eeb4778c0847463b5bc9ebcc7fb5110cbe21030280ae56b03,26dbbc427b14862eeb4778c0847463b5bc9ebcc7fb5110cbe21030280ae56b03,33dccb41b93a327163c2bdae5eb0dd454c1b9a593a29e705ddf6e0d1bceb26f7
3,3,4,101,41,100,72,5b4dbd1ac1efac9a2b2dc84641c51f97ee03044d1ab86d0b7a3fca42db0645ce,5b4dbd1ac1efac9a2b2dc84641c51f97ee03044d1ab86d0b7a3fca42db0645ce,378706d0283efd9e274c1c02b78f84c2e39e6012f4dc3973a6458c85b47d2925
3,3,4,165,78,100,84,783518b92a837c386d08357a85ffc468d7ed1d8fa29246352be3f62e283e75d3,783518b92a837c386d08357a85ffc468d7ed1d8fa29246352be3f62e283e75d3,93e7fac3e3fb802c594f63510223f9595b811cb6d4dc8b7e4076d131e070788e
3,3,4,281,148,100,94,9307113dd0cb015bfb2b23e211da7c739f88c5955c108e7307b05cfcff4d5705,9307113dd0cb015bfb2b23e211da7c739f88c5955c108e7307b05cfcff4d5705,5e948b0668601bc7807847833ddc85c8cb2e5e3af87b9044b8133593fe1fa701
3,3,4,93,44,100,75,c4eff511eb045c89afc952110a06ab0b5bde0868638f86210225c2e5e28e0019,c4eff511eb045c89afc952110a06ab0b5bde0868638f86210225c2e5e28e0019,e7c500ac8c4c60db4289616442cddf4870f9cc45c045259dfe0571ba7d147df8
3,3,4,91,57,100,63,78c0bb53ea69b3167c78d27be1b431d8c4d4501b28a73714c03d74ebc7634d16,78c0bb53ea69b3167c78d27be1b431d8c4d4501b28a73714c03d74ebc7634d16,5a73b8df1fbcef63d1915ef298de74dfeb21ffbb624a6584fc8f878353d12dd0
3,3,4,120,59,100,87,08d42d41e2172a5dd81a71461c042916f109bff182fb2b8036ab46b48c32e2ae,08d42d41e2172a5dd81a71461c042916f109bff182fb2b8036ab46b48c32e2ae,c69d4864e2b46cc3aefe9ff2fb8c84507694ee39156feac6ee3136d348da5733
3,3,4,218,117,100,65,6034933a2d39f7437ef1da3f81f054f04d27c2445776c2934c8a00c3d94c5ee0,6034933a2d39f7437ef1da3f81f054f04d27c2445776c2934c8a00c3d94c5ee0,f385fe860ec44636f1458e29d77c9abd67b99e1f3fed3b15b10f30eafa7d3208
3,4,2,34,20,100,62,b849cd74f22370128000060e348d0d4d3d554e75d66014b50b5c1ca9345d55af,b849cd74f22370128000060e348d0d4d3d554e75d66014b50b5c1ca9345d55af,c1c8d408e1165f4d8007ac1311a7a6cc07711b71c310a22f87be0690e01dfa44
3,4,2,55,27,100,60,352b07e2f09947867cb40ab3cbb8c61d4ab9a7b51855203031e0074ca96032d6,352b07e2f09947867cb40ab3cbb8c61d4ab9a7b51855203031e0074ca96032d6,df11703f923247b25b2f2627a4ee4bdabe7db13d86a0d170459b9888a1ddbc23
